The Florida Project (2017),96,79,175,"R (for language throughout, disturbing behavior, sexual references and some drug material)",Drama,Sean Baker (II),"Sean Baker (II) , Chris Bergoch","Oct 6, 2017 limited","Feb 20, 2018","$5,412,775",115 minutes,June Pictures
Alien (1979),97,94,191,R (for sci-fi violence/ gore and language),"Drama, Mystery & Suspense, Science Fiction & Fantasy",Ridley Scott,Dan O'Bannon,"May 25, 1979 limited","Jan 6, 2004",117 minutes,20th Century Fox,
La La Land (2016),91,81,172,PG-13 (for some language),"Comedy, Drama, Musical & Performing Arts",Damien Chazelle,Damien Chazelle,"Dec 9, 2016 limited","Apr 25, 2017","$151,058,124",128 minutes,Liongate Films
The Night of the Hunter (1955),99,90,189,PG,"Drama, Mystery & Suspense",Charles Laughton,James Agee,"Jan 1, 1955 wide","May 15, 2001",93 minutes,United Artists,
Spider-Man: Homecoming (2017),92,88,180,"PG-13 (for sci-fi action violence, some language and brief suggestive comments)","Action & Adventure, Drama, Science Fiction & Fantasy",Jon Watts,"Jonathan M. Goldstein, John Francis Daley, Jon Watts, Christopher Ford, Chris McKenna (II), Erik Sommers","Jul 7, 2017 wide","Oct 17, 2017","$334,166,825",133 minutes,Sony Pictures
North by Northwest (1959),99,94,193,NR,"Classics, Mystery & Suspense",Alfred Hitchcock,Ernest Lehman,"Sep 17, 1959 wide","Aug 29, 2000",136 minutes,Turner Entertainment,
Sunset Boulevard (1950),98,95,193,G,"Classics, Drama",Billy Wilder,"D.M. Marshman, Jr., Charles Brackett, Billy Wilder","Aug 4, 1950 wide","Nov 26, 2002",111 minutes,Paramount Pictures,
The Bicycle Thief (Ladri di biciclette) (1949),98,94,192,NR,Drama,Vittorio De Sica,"Cesare Zavattini, Vittorio De Sica, Oreste Biancoli, Adolfo Franci, O. Biancoli, Suso Cecchi d'Amico","Dec 13, 1949 wide","Dec 8, 1998",90 minutes,ENIC,
Won't You Be My Neighbor? (2018),98,95,193,PG-13 (for some thematic elements and language),Documentary,Morgan Neville,"Jun 8, 2018 limited","Sep 4, 2018",94 minutes,Focus Features,,
Seven Samurai (Shichinin no Samurai) (1956),100,97,197,G,"Action & Adventure, Art House & International, Classics, Drama",Akira Kurosawa,"Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni","Nov 19, 1956 wide","Mar 1, 1999",204 minutes,Columbia Pictures,
M (1931),100,95,195,NR,"Art House & International, Drama, Mystery & Suspense",Fritz Lang,"Thea von Harbou, Fritz Lang","Aug 31, 1931 wide","Oct 20, 1998","$17,599",105 minutes,Foremco
Taxi Driver (1976),98,93,191,"R (violence, language)","Drama, Mystery & Suspense",Martin Scorsese,Paul Schrader,"Feb 8, 1976 wide","Jun 15, 1999",112 minutes,Columbia Pictures,
Zootopia (2016),97,92,189,"PG (for some thematic elements, rude humor and action)","Action & Adventure, Animation, Comedy","Byron Howard, Rich Moore, Jared Bush","Jared Bush, Phil Johnston","Mar 4, 2016 wide","Jun 7, 2016","$341,264,012",108 minutes,Walt Disney Animation Studios
Rear Window (1954),100,95,195,PG (adult situations/language),"Classics, Drama, Mystery & Suspense",Alfred Hitchcock,John Michael Hayes,"Sep 1, 1954 wide","Mar 6, 2001",115 minutes,Paramount Pictures,
The Philadelphia Story (1940),100,93,193,NR,"Classics, Comedy, Romance",George Cukor,"Donald Ogden Stewart, Waldo Salt","Dec 1, 1940 wide","Sep 10, 1997",112 minutes,MGM,
Toy Story 2 (1999),100,86,186,G,"Animation, Comedy, Kids & Family",John Lasseter,"Doug Chamberlain, Rita Hsiao, Doug Chamberlin, Chris Webb, Ash Brannon, John Lasseter, Pete Docter, Andrew Stanton","Nov 24, 1999 wide","Oct 17, 2000",92 minutes,Buena Vista Pictures,
Up (2009),98,90,188,PG (for some peril and action),"Action & Adventure, Animation, Comedy, Kids & Family","Pete Docter, Bob Peterson","Bob Peterson, Pete Docter, Tom McCarthy, Ronnie del Carmen","May 29, 2009 wide","Nov 10, 2009","$292,979,556",89 minutes,Walt Disney Pictures
Touch of Evil (1958),96,92,188,PG-13 (for some violence and drug content),"Classics, Drama, Mystery & Suspense",Orson Welles,Orson Welles,"May 21, 1958 wide","Oct 31, 2000",95 minutes,October Films,
War for the Planet of the Apes (2017),93,84,177,"PG-13 (for sequences of sci-fi violence and action, thematic elements, and some disturbing images)","Action & Adventure, Drama, Science Fiction & Fantasy",Matt Reeves,"Mark Bomback, Matt Reeves","Jul 14, 2017 wide","Oct 24, 2017","$146,872,826",140 minutes,20th Century Fox
Hell or High Water (2016),97,88,185,"R (for some strong violence, language throughout and brief sexuality)","Drama, Mystery & Suspense",David Mackenzie,Taylor Sheridan,"Aug 12, 2016 limited","Nov 22, 2016","$26,973,524",102 minutes,Film 44
The Jungle Book (2016),95,86,181,PG (for some sequences of scary action and peril),"Action & Adventure, Kids & Family",Jon Favreau,Justin Marks,"Apr 15, 2016 wide","Aug 30, 2016","$363,995,937",111 minutes,Walt Disney Pictures
All Quiet on the Western Front (1930),100,89,189,PG,"Classics, Drama",Lewis Milestone,"Lewis Milestone, Maxwell Anderson, Del Andrews, George Abbott","Aug 24, 1930 wide","Jan 5, 1999",134 minutes,Universal Pictures,
Toy Story 3 (2010),98,89,187,G,"Animation, Comedy, Kids & Family",Lee Unkrich,"Lee Unkrich, Andrew Stanton, John Lasseter, Michael Arndt","Jun 18, 2010 wide","Nov 2, 2010","$414,984,497",103 minutes,Walt Disney Pictures
A Streetcar Named Desire (1951),98,90,188,PG,"Classics, Drama",Elia Kazan,"Tennessee Williams, Oscar Saul","Sep 19, 1951 limited","May 18, 1999",122 minutes,Warner Bros. Pictures,
Rebecca (1940),100,92,192,NR,"Classics, Drama, Mystery & Suspense",Alfred Hitchcock,"Joan Harrison, Michael Hogan, Philip MacDonald, Robert E. Sherwood","Mar 27, 1940 limited","Mar 13, 2001",130 minutes,United Artists,
Vertigo (1958),96,93,189,PG (violence),"Classics, Drama, Mystery & Suspense, Romance",Alfred Hitchcock,"Samuel W. Taylor, Samuel A. Taylor, Alec Coppel","Jan 1, 1958 limited","Mar 31, 1998",128 minutes,Paramount Pictures,
The 400 Blows (Les Quatre cents coups) (1959),100,94,194,NR,"Art House & International, Classics, Drama",François Truffaut,"François Truffaut, Marcel Moussy","Nov 16, 1959 wide","Mar 24, 1998",97 minutes,Zenith International Films,
Lawrence of Arabia (1962),98,93,191,PG (N/A),"Action & Adventure, Classics, Drama",David Lean,"Robert Bolt, Michael Wilson","Dec 16, 1962 wide","Apr 3, 2001",222 minutes,Columbia Pictures,
Brooklyn (2015),97,87,184,PG-13 (for a scene of sexuality and brief strong language),Drama,John Crowley,Nick Hornby,"Nov 4, 2015 limited","Mar 15, 2016","$30,459,009",111 minutes,Fox Searchlight Pictures
Jaws (1975),98,90,188,"PG (adult situations/language, violence)","Action & Adventure, Drama, Mystery & Suspense",Steven Spielberg,"Howard Sackler, Carl Gottlieb, Peter Benchley","Jun 1, 1975 wide","Jul 11, 2000",124 minutes,Universal Pictures,
